DHFR	1	27
DHFR	2	50
DHFR	3	51
DHFR	4	51
DHFR	5	54
DHFR	6	55
DHFR	7	69
DHFR	8	69
DHFR	9	69
DHFR	10	69
DHFR	11	71
DHFR	12	75
DHFR	13	80
DHFR	14	80
DHFR	15	83
DHFR	16	84
DHFR	17	84
DHFR	18	84
DHFR	19	85
DHFR	20	85
DHFR	21	85
DHFR	22	87
DHFR	23	89
DHFR	24	89
DHFR	25	91
DHFR	26	92
DHFR	27	93
DHFR	28	93
DHFR	29	100
DHFR	30	100
DHFR	31	107
DHFR	32	107
DHFR	33	107
DHFR	34	109
DHFR	35	111
DHFR	36	112
DHFR	37	114
DHFR	38	123
DHFR	39	127
DHFR	40	132
DHFR	41	135
DHFR	42	142
DHFR	43	142
DHFR	44	148
DHFR	45	148
DHFR	46	148
DHFR	47	148
DHFR	48	150
DHFR	49	150
DHFR	50	159
DHFR	51	184
DHFR	52	184
DHFR	53	187
DHFR	54	187
DHFR	55	188
DHFR	56	188
DHFR	57	189
DHFR	58	195
DHFR	59	196
DHFR	60	196
DHFR	61	196
DHFR	62	196
DHFR	63	196
DHFR	64	196
DHFR	65	196
DHFR	66	200
DHFR	67	200
DHFR	68	200
DHFR	69	200
DHFR	70	200
DHFR	71	200
DHFR	72	200
DHFR	73	202
DHFR	74	202
DHFR	75	202
DHFR	76	202
DHFR	77	202
DHFR	78	202
DHFR	79	198
DHFR	80	202
DHFR	81	202
DHFR	82	202
DHFR	83	206
DHFR	84	206
DHFR	85	206
DHFR	86	206
DHFR	87	206
DHFR	88	206
DHFR	89	206
DHFR	90	207
DHFR	91	207
DHFR	92	207
DHFR	93	207
DHFR	94	210
DHFR	95	210
DHFR	96	210
DHFR	97	210
DHFR	98	210
DHFR	99	212
DHFR	100	214
DHFR	101	216
DHFR	102	219
DHFR	103	220
DHFR	104	222
DHFR	105	222
DHFR	106	224
DHFR	107	238
DHFR	108	242
DHFR	109	244
DHFR	110	253
DHFR	111	253
DHFR	112	253
DHFR	113	253
DHFR	114	252
DHFR	115	254
DHFR	116	257
DHFR	117	254
